timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580892169,3866,HTTP Request,200,,request for index 3-16,text,true,,3425,147,29,190,3866,0,1
1519580892269,3768,HTTP Request,200,,request for index 3-22,text,true,,3425,143,28,189,3767,0,0
1519580892523,3526,HTTP Request,200,,request for index 3-42,text,true,,3425,149,27,188,3512,0,0
1519580893047,3018,HTTP Request,200,,request for index 3-80,text,true,,3425,143,26,187,3009,0,3
1519580893071,3014,HTTP Request,200,,request for index 3-82,text,true,,3425,147,25,186,3013,0,1
1519580892836,3250,HTTP Request,200,,request for index 3-63,text,true,,3425,145,24,185,3246,0,0
1519580892585,3546,HTTP Request,200,,request for index 3-48,text,true,,3425,147,23,184,3533,0,0
1519580892211,3953,HTTP Request,200,,request for index 3-19,text,true,,3425,146,22,183,3950,0,1
1519580893172,2996,HTTP Request,200,,request for index 3-88,text,true,,3425,141,21,182,2996,0,0
1519580892083,4089,HTTP Request,200,,request for index 3-9,text,true,,3425,142,20,181,4088,0,0
1519580893268,2940,HTTP Request,200,,request for index 3-96,text,true,,3425,142,19,180,2939,0,0
1519580892665,3554,HTTP Request,200,,request for index 3-51,text,true,,3425,144,18,179,3546,0,0
1519580893202,3017,HTTP Request,200,,request for index 3-90,text,true,,3425,145,18,179,3017,0,1
1519580892310,3929,HTTP Request,200,,request for index 3-23,text,true,,3425,141,16,177,3928,0,1
1519580892750,3504,HTTP Request,200,,request for index 3-57,text,true,,3425,142,15,176,3495,0,1
1519580892015,4289,HTTP Request,200,,request for index 3-4,text,true,,3425,145,14,175,4281,0,1
1519580892195,4112,HTTP Request,200,,request for index 3-18,text,true,,3425,146,13,174,4107,0,0
1519580892733,3584,HTTP Request,200,,request for index 3-56,text,true,,3425,144,12,173,3573,0,1
1519580893333,2984,HTTP Request,200,,request for index 3-100,text,true,,3425,150,11,172,2984,0,1
1519580892362,3958,HTTP Request,200,,request for index 3-29,text,true,,3425,147,10,171,3956,0,0
1519580892377,3952,HTTP Request,200,,request for index 3-30,text,true,,3425,143,9,170,3945,0,0
1519580892313,4020,HTTP Request,200,,request for index 3-25,text,true,,3425,141,8,169,4014,0,0
1519580892425,3916,HTTP Request,200,,request for index 3-34,text,true,,3425,144,7,168,3913,0,1
1519580893101,3240,HTTP Request,200,,request for index 3-84,text,true,,3425,145,6,167,3234,0,1
1519580892551,3822,HTTP Request,200,,request for index 3-45,text,true,,3425,145,5,166,3815,0,0
1519580891512,4868,HTTP Request_SignupCheck,200,,signuptest 1-8,text,true,,640,572,75,165,4324,0,121
1519580892785,3597,HTTP Request,200,,request for index 3-59,text,true,,3425,143,4,164,3597,0,0
1519580892823,3560,HTTP Request,200,,request for index 3-62,text,true,,3425,142,3,163,3560,0,1
1519580891792,4592,HTTP Request_SignupCheck,200,,signuptest 1-34,text,true,,640,604,74,162,4087,0,1
1519580892325,4061,HTTP Request,200,,request for index 3-26,text,true,,3425,147,2,161,4061,0,0
1519580891714,4675,HTTP Request_Login check,200,,login Test 2-11,text,true,,651,513,86,160,4675,0,7
1519580891512,4878,HTTP Request_SignupCheck,200,,signuptest 1-6,text,true,,640,556,73,159,4380,0,121
1519580891705,4689,HTTP Request_SignupCheck,200,,signuptest 1-26,text,true,,4198,602,72,158,4216,0,1
1519580892023,4371,HTTP Request_Login check,200,,login Test 2-34,text,true,,651,508,85,158,3933,0,0
1519580892218,4177,HTTP Request_Login check,200,,login Test 2-50,text,true,,651,499,85,157,3730,0,1
1519580891693,4717,HTTP Request_Login check,200,,login Test 2-9,text,true,,651,503,83,155,4717,0,10
1519580891679,4758,HTTP Request_Login check,200,,login Test 2-7,text,true,,651,496,82,154,4758,0,24
1519580891884,4597,HTTP Request_SignupCheck,200,,signuptest 1-43,text,true,,640,598,71,153,4499,0,1
1519580891741,4743,HTTP Request_SignupCheck,200,,signuptest 1-29,text,true,,4198,570,70,152,4743,0,20
1519580893139,3347,HTTP Request,200,,request for index 3-86,text,true,,3425,142,1,151,3252,0,0
1519580891649,4845,HTTP Request_SignupCheck,200,,signuptest 1-23,text,true,,640,564,69,150,4845,0,1
1519580891608,4888,HTTP Request_SignupCheck,200,,signuptest 1-19,text,true,,640,554,68,149,4888,0,26
1519580892176,4323,HTTP Request_SignupCheck,200,,signuptest 1-67,text,true,,640,602,67,148,4323,0,3
1519580891706,4797,HTTP Request_Login check,200,,login Test 2-10,text,true,,651,505,81,147,4797,0,1
1519580891528,4978,HTTP Request_SignupCheck,200,,signuptest 1-11,text,true,,640,593,66,146,4973,0,122
1519580891512,4998,HTTP Request_SignupCheck,200,,signuptest 1-7,text,true,,4198,593,65,145,4998,0,123
1519580892168,4343,HTTP Request_Login check,200,,login Test 2-46,text,true,,651,490,80,144,4330,0,1
1519580892281,4233,HTTP Request_Login check,200,,login Test 2-56,text,true,,651,468,79,143,4223,0,1
1519580892061,4453,HTTP Request_SignupCheck,200,,signuptest 1-59,text,true,,640,567,64,142,4429,0,32
1519580891589,5167,HTTP Request_SignupCheck,200,,signuptest 1-17,text,true,,640,566,63,141,5167,0,43
1519580891513,5365,HTTP Request_SignupCheck,200,,signuptest 1-4,text,true,,640,585,62,140,5365,0,120
1519580892134,4752,HTTP Request_SignupCheck,200,,signuptest 1-64,text,true,,640,588,61,139,4751,0,1
1519580891800,5088,HTTP Request_Login check,200,,login Test 2-18,text,true,,636,505,78,138,5088,0,1
1519580891801,5092,HTTP Request_SignupCheck,200,,signuptest 1-35,text,true,,640,593,60,137,5076,0,1
1519580891765,5129,HTTP Request_SignupCheck,200,,signuptest 1-32,text,true,,640,551,59,136,5129,0,1
1519580891931,4965,HTTP Request_Login check,200,,login Test 2-26,text,true,,651,511,77,135,4964,0,0
1519580891907,4989,HTTP Request_Login check,200,,login Test 2-24,text,true,,651,492,76,134,4989,0,0
1519580891764,5133,HTTP Request_Login check,200,,login Test 2-15,text,true,,651,508,75,133,5133,0,4
1519580891756,5141,HTTP Request_SignupCheck,200,,signuptest 1-30,text,true,,640,605,58,132,5141,0,0
1519580891917,4981,HTTP Request_Login check,200,,login Test 2-25,text,true,,651,507,74,131,4981,0,1
1519580891954,4946,HTTP Request_SignupCheck,200,,signuptest 1-49,text,true,,640,578,57,130,4946,0,1
1519580891513,5396,HTTP Request_SignupCheck,200,,signuptest 1-9,text,true,,640,572,56,129,5371,0,120
1519580892270,4701,HTTP Request_SignupCheck,200,,signuptest 1-75,text,true,,640,574,55,128,4701,0,1
1519580891724,5298,HTTP Request_Login check,200,,login Test 2-12,text,true,,651,511,73,127,5297,0,1
1519580891899,5126,HTTP Request_Login check,200,,login Test 2-23,text,true,,651,513,72,126,5123,0,0
1519580892199,4827,HTTP Request_SignupCheck,200,,signuptest 1-69,text,true,,640,566,54,125,4823,0,0
1519580891966,5062,HTTP Request_SignupCheck,200,,signuptest 1-50,text,true,,640,587,53,124,5062,0,0
1519580891929,5102,HTTP Request_SignupCheck,200,,signuptest 1-47,text,true,,640,565,52,123,5102,0,0
1519580892553,4482,HTTP Request_SignupCheck,200,,signuptest 1-99,text,true,,640,560,51,122,4482,0,0
1519580891777,5259,HTTP Request_SignupCheck,200,,signuptest 1-33,text,true,,640,587,50,121,5259,0,3
1519580892361,4676,HTTP Request_SignupCheck,200,,signuptest 1-83,text,true,,640,558,49,120,4665,0,0
1519580892681,4357,HTTP Request_Login check,200,,login Test 2-80,text,true,,651,491,71,119,4354,0,0
1519580891985,5054,HTTP Request_SignupCheck,200,,signuptest 1-51,text,true,,640,578,48,118,5054,0,1
1519580892917,4124,HTTP Request_Login check,200,,login Test 2-97,text,true,,651,475,70,117,4120,0,0
1519580892084,4989,HTTP Request_Login check,200,,login Test 2-38,text,true,,651,470,69,116,4811,0,1
1519580891658,5416,HTTP Request_Login check,200,,login Test 2-5,text,true,,651,483,68,115,5236,0,0
1519580892309,4766,HTTP Request_SignupCheck,200,,signuptest 1-78,text,true,,640,558,47,114,4576,0,0
1519580892349,4727,HTTP Request_SignupCheck,200,,signuptest 1-82,text,true,,640,604,46,113,4533,0,1
1519580892039,5038,HTTP Request_SignupCheck,200,,signuptest 1-57,text,true,,640,592,45,112,4844,0,1
1519580892015,5062,HTTP Request_SignupCheck,200,,signuptest 1-54,text,true,,640,598,44,111,5062,0,0
1519580891745,5336,HTTP Request_Login check,200,,login Test 2-13,text,true,,651,500,67,110,5155,0,1
1519580892021,5061,HTTP Request_Login check,200,,login Test 2-33,text,true,,651,473,66,109,4878,0,1
1519580892518,4569,HTTP Request_SignupCheck,200,,signuptest 1-96,text,true,,640,595,43,108,4568,0,1
1519580892073,5016,HTTP Request_SignupCheck,200,,signuptest 1-60,text,true,,640,579,42,107,5016,0,0
1519580892441,4648,HTTP Request_SignupCheck,200,,signuptest 1-89,text,true,,640,589,41,106,4648,0,1
1519580891989,5102,HTTP Request_Login check,200,,login Test 2-31,text,true,,651,486,65,105,5102,0,0
1519580892060,5032,HTTP Request_SignupCheck,200,,signuptest 1-58,text,true,,640,569,40,104,5032,0,37
1519580891754,5339,HTTP Request_Login check,200,,login Test 2-14,text,true,,651,482,64,103,5337,0,0
